Title;MAL Id;Type;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score
5479;Magic Knight Rayearth Pilot;38372;Special;5 min.;['Tokyo Movie Shinsha'];Manga;['Action', 'Fantasy'];N\A; PG-13 - Teens 13 or older  ;11903;6.12
12048;Medamayaki no Kimi Itsu Tsubusu?;24275;Special;18 min. per ep.;['Fanworks'];Manga;['Comedy', 'Gourmet'];N\A; G - All Ages  ;11247;5.97
33412;Shin Hurricane Polymar;3398;OVA;30 min. per ep.;['J.C.Staff', 'Tatsunoko Production'];Unknown;['Action', 'Sci-Fi'];['Martial Arts', 'Super Power']; R+ - Mild Nudity  ;9688;5.79
29346;Madan no Ou to Vanadis: Tigre-kun to Vanadi-chu Episode 0;39011;ONA;2 min.;['Studio PuYUKAI'];Light;['Comedy', 'Fantasy'];N\A; G - All Ages  ;7770;6.1
16733;Kero Kero Keroppi no Christmas Eve no Okurimono;17983;OVA;21 min.;['Grouper Productions'];Unknown;N\A;N\A; G - All Ages  ;14009;5.89
4186;Gunslinger Stratos The Animation: Bunki/Futatsu no Mirai;31065;Special;23 min.;['A-1 Pictures'];Unknown;['Action', 'Sci-Fi'];N\A; PG-13 - Teens 13 or older  ;8744;6.05
25927;True Love Story;748;OVA;25 min. per ep.;['add some'];Visual;N\A;N\A; PG-13 - Teens 13 or older  ;7435;5.98
13496;Lu Ling;25149;Movie;20 min.;['add some'];Unknown;N\A;N\A; G - All Ages  ;14860;6.14
32418;Detective Conan: Let's Experience the Jomon Period!;33148;OVA;15 min.;['add some'];Unknown;N\A;N\A; PG-13 - Teens 13 or older  ;9890;6.01
25269;Fabre-sensei wa Meitantei;5088;TV;25 min. per ep.;['E&G Films'];Book;N\A;N\A; PG - Children  ;12200;6.16
19179;Shihaisha no Tasogare;1245;OVA;45 min.;['Madhouse', 'Production Reed'];Manga;['Action', 'Drama', 'Horror', 'Sci-Fi', 'Supernatural'];N\A; R+ - Mild Nudity  ;5811;5.81
15827;Sin: Nanatsu no Taizai;33834;TV;23 min. per ep.;['Artland', 'TNK'];Other;['Fantasy', 'Ecchi'];N\A; R+ - Mild Nudity  ;1345;5.72
40236;Wakusei Robo Danguard Ace;1986;TV;25 min. per ep.;['Toei Animation'];Original;N\A;['Mecha', 'Military', 'Space']; PG-13 - Teens 13 or older  ;10409;6.16
18621;Val x Love;39799;TV;23 min. per ep.;['Hoods Entertainment'];Manga;['Comedy', 'Romance', 'Supernatural', 'Ecchi'];['Harem', 'School']; R - 17+ (violence & profanity)  ;1956;5.9
29118;Ulibyeol Ilhowa Eollugso;28251;Movie;1 hr. 21 min.;['add some'];Unknown;['Comedy', 'Romance'];N\A; G - All Ages  ;10261;5.76
29439;Prism Ark Specials;4566;Special;4 min. per ep.;['add some'];Unknown;['Action', 'Comedy', 'Drama', 'Fantasy'];N\A; PG-13 - Teens 13 or older  ;9445;6.04
2200;3-gatsu no Lion: Ugoku! Nya Shogi;38154;Special;4 min. per ep.;['add some'];Manga;N\A;N\A; G - All Ages  ;8297;6.06
40520;The Five Killers;30916;ONA;1 min.;['Gonzo'];Original;N\A;N\A; PG-13 - Teens 13 or older  ;11686;6.1
36736;Chokotto Anime Kemono Friends 3;39653;ONA;1 min.;['add some'];Game;['Adventure', 'Comedy', 'Fantasy'];N\A; PG - Children  ;10200;5.76
4740;Shiroi Suna no Aquatope Mini;49410;ONA;1 min. per ep.;['add some'];Original;['Comedy', 'Slice of Life'];N\A; PG-13 - Teens 13 or older  ;8587;5.87
5325;Kamo ga Suki;40202;ONA;7 min.;['add some'];Original;['Avant Garde', 'Comedy'];N\A; G - All Ages  ;15681;5.7
22573;Aware! Meisaku-kun;32956;TV;5 min.;['Pie in the sky'];Original;N\A;['Parody', 'School']; G - All Ages  ;12546;5.69
36990;Tottoko Hamtarou no Tottoko Daijida!! Bousai Kunren;35128;OVA;13 min.;['add some'];Manga;N\A;N\A; G - All Ages  ;13501;6.09
8857;Handsome Girl;1115;OVA;36 min.;['J.C.Staff'];Manga;N\A;N\A; PG-13 - Teens 13 or older  ;8117;5.69
30581;Bean Bandit;37483;OVA;7 min.;['add some'];Unknown;['Action', 'Comedy'];N\A; None  ;7968;5.91
33973;Kobutori;22511;Movie;Unknown;['add some'];Other;N\A;N\A; G - All Ages  ;13301;5.68
29294;Hakushon Daimaou 2020;40983;TV;24 min. per ep.;['Nippon Animation', 'Tatsunoko Production'];Original;['Comedy', 'Fantasy'];N\A; G - All Ages  ;12174;6.0
24164;Dragoon;3968;OVA;28 min. per ep.;['add some'];Game;['Adventure', 'Fantasy'];N\A; R+ - Mild Nudity  ;10073;5.68
36069;Hello Kitty no Yuki no Joou;22485;OVA;14 min.;['add some'];Unknown;N\A;N\A; G - All Ages  ;13495;5.88
8239;Princess Connect!;34455;ONA;1 min. per ep.;['add some'];Game;N\A;N\A; G - All Ages  ;6229;6.18
2168;Akuma-kun;8194;TV;25 min. per ep.;['Toei Animation'];Manga;['Adventure', 'Fantasy', 'Horror', 'Supernatural'];N\A; G - All Ages  ;11375;6.22
39175;Sengoku Kitan Youtouden Movie;1378;Movie;1 hr. 26 min.;['J.C.Staff'];Unknown;N\A;['Martial Arts', 'Samurai']; R - 17+ (violence & profanity)  ;7318;5.92
40578;Muybridge no Ito;10688;Movie;13 min.;['add some'];Original;N\A;N\A; PG-13 - Teens 13 or older  ;10301;6.08
14752;Yami Shibai 4;34467;TV;4 min. per ep.;['ILCA'];Original;['Avant Garde', 'Horror', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;3659;5.76
2397;Himitsukessha Taka no Tsume;4737;TV;11 min. per ep.;['DLE'];Original;N\A;['Parody', 'Super Power']; PG-13 - Teens 13 or older  ;11324;6.12
18772;Eievui to Colorful Friends;35551;ONA;1 min.;['add some'];Game;N\A;N\A; G - All Ages  ;9060;6.18
20441;Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials;16508;Special;4 min. per ep.;['AIC Classic'];Manga;['Comedy', 'Ecchi'];['Parody', 'School']; R+ - Mild Nudity  ;7558;5.98
21087;Mobile Suit SD Gundam Mk V;6792;OVA;10 min. per ep.;['Sunrise'];Unknown;['Comedy', 'Sci-Fi'];['Mecha', 'Parody']; G - All Ages  ;9158;5.71
6276;Gegege no Kitarou: Youkai Daisensou;8153;Movie;40 min.;['Toei Animation'];Unknown;['Adventure', 'Comedy', 'Fantasy', 'Horror', 'Supernatural'];N\A; G - All Ages  ;12082;6.05
11571;Namu Amida Butsu!: Rendai Utena;38150;TV;24 min. per ep.;['Asahi Production'];Game;N\A;N\A; PG-13 - Teens 13 or older  ;4828;6.07
18723;Cyclops Shoujo Saipuu;17397;ONA;2 min. per ep.;['add some'];4-koma;['Comedy', 'Slice of Life', 'Ecchi'];N\A; PG-13 - Teens 13 or older  ;2901;5.76
42063;Sprite: Between Two Worlds;1786;OVA;40 min. per ep.;['J.C.Staff'];Unknown;['Comedy', 'Romance', 'Ecchi'];N\A; R+ - Mild Nudity  ;9330;5.68
11719;Early Reins;1928;OVA;44 min.;['OLM'];Original;['Action', 'Adventure'];N\A; R - 17+ (violence & profanity)  ;8366;5.87
8360;Super Kuma-san;2421;Special;25 min.;['Toei Animation'];Unknown;['Comedy', 'Fantasy'];N\A; PG - Children  ;11661;6.05
42081;Animegatari;30617;Movie;1 min. per ep.;['W-Toon Studio'];Original;N\A;N\A; G - All Ages  ;7427;5.67
39426;Doraemon: Benkyou Heya no Tsuribori;36730;Special;12 min.;['add some'];Manga;['Comedy', 'Sci-Fi'];N\A; PG - Children  ;11936;6.14
9511;Gongitsune;9535;Movie;1 hr. 10 min.;['add some'];Picture;['Drama', 'Slice of Life'];N\A; PG - Children  ;11423;6.19
5444;Monkey Magic;1139;TV;25 min. per ep.;['Group TAC'];Novel;['Adventure', 'Fantasy'];N\A; PG - Children  ;12118;5.86
17821;Ugokie Kori no Tatehiki;3929;Movie;11 min.;['add some'];Original;['Comedy', 'Supernatural'];N\A; G - All Ages  ;10840;5.66
36446;Lei Su Deng Shandian Chong Xian 2;38378;TV;24 min. per ep.;['add some'];Original;N\A;N\A; G - All Ages  ;14200;5.86
14592;Gregory Horror Show: The Last Train;12483;TV;3 min. per ep.;['Milky Cartoon'];Original;['Comedy', 'Horror', 'Mystery', 'Supernatural'];['Demons', 'Vampire']; None  ;10499;6.21
37161;Guomin Laogong Dai Huijia 3rd Season;37181;ONA;12 min. per ep.;['Wawayu Animation'];Novel;['Drama', 'Romance'];N\A; PG-13 - Teens 13 or older  ;7712;6.08
17121;Nessa no Haou Gandalla;3176;TV;22 min. per ep.;['Production Reed'];Original;['Adventure', 'Drama', 'Fantasy', 'Horror', 'Sci-Fi', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;10251;5.78
2717;Turning Girls;19133;ONA;5 min. per ep.;['Trigger'];Original;['Comedy', 'Slice of Life'];N\A; PG-13 - Teens 13 or older  ;6060;6.04
1062;Himote House;36945;TV;12 min. per ep.;['Bouncy'];Original;N\A;N\A; PG-13 - Teens 13 or older  ;4523;5.68
16181;Kinnikuman: New York Kiki Ippatsu!;3278;Movie;45 min.;['Toei Animation'];Unknown;['Action', 'Comedy', 'Sports'];N\A; PG-13 - Teens 13 or older  ;12214;6.15
6012;Mutekiou Tri-Zenon;1975;TV;25 min. per ep.;['E&G Films'];Unknown;N\A;N\A; G - All Ages  ;10783;6.1
35148;Saru Getchu: On Air 2nd;8900;TV;10 min. per ep.;['Xebec'];Game;['Adventure', 'Comedy', 'Fantasy', 'Romance'];N\A; PG - Children  ;12917;5.94
15270;Black Jack: Dr. Pinoko no Mori no Bouken;4070;Movie;7 min.;['add some'];Unknown;N\A;N\A; G - All Ages  ;9490;6.22
3424;Mahou Shoujo Nante Mou Ii Desukara. Second Season;33795;TV;4 min. per ep.;['Pine Jam'];Web;N\A;N\A; PG-13 - Teens 13 or older  ;5086;6.07
33119;Suntory Minami Alps no Tennensui;33902;Special;20 sec. per ep.;['CoMix Wave Films'];Original;N\A;N\A; G - All Ages  ;4840;5.95
9163;Anata wo Hitokoto de Arawashite Kudasai: no Shitsumon ga Nigate da.;50762;ONA;5 min.;['Sunrise'];Original;N\A;N\A; G - All Ages  ;13116;6.16
8830;Kimi ga Nozomu Eien: Ayu Mayu Gekijou;1856;ONA;5 min. per ep.;['Picture Magic'];Visual;N\A;N\A; PG-13 - Teens 13 or older  ;6613;6.2
19958;Top wo Nerae! Kagaku Kouza;5462;Special;2 min. per ep.;['Gainax'];Original;['Comedy', 'Sci-Fi'];N\A; G - All Ages  ;6059;6.11
10207;Dengeki Bunko 2007 Movie Festival Special;6628;Special;3 min.;['add some'];Unknown;N\A;N\A; G - All Ages  ;7369;6.17
38006;Mianhada Saranghanda;9254;Movie;35 min.;['Studio Meditation With a Pencil'];Unknown;N\A;N\A; G - All Ages  ;9989;5.92
24525;Yowai Mushi;16233;Special;4 min.;['add some'];Unknown;N\A;N\A; PG-13 - Teens 13 or older  ;9427;5.99
9780;Kusatta Kyoushi no Houteishiki;1909;OVA;28 min. per ep.;['J.C.Staff'];Manga;['Boys Love', 'Comedy', 'Romance'];N\A; PG-13 - Teens 13 or older  ;7375;6.02
21335;Rolling☆Girls: Chibi☆Rolling☆Girls Korokoro Gekijou;30499;Special;1 min. per ep.;['Wit Studio'];Original;N\A;N\A; PG-13 - Teens 13 or older  ;7928;5.87
7112;Virtua Fighter: Costomize Clip;36937;OVA;32 min.;['Production I.G'];Game;['Action', 'Drama'];['Martial Arts', 'Music']; PG-13 - Teens 13 or older  ;12937;6.03
9280;Himitsukessha Taka no Tsume Gaiden: Mukashi no Yoshida-kun;13207;TV;3 min. per ep.;['add some'];Unknown;N\A;['Historical', 'Parody']; G - All Ages  ;13476;5.79
32270;Rio: Rainbow Gate! Special;10301;Special;23 min.;['Xebec'];Unknown;['Comedy', 'Ecchi'];N\A; PG-13 - Teens 13 or older  ;7184;6.03
13390;Umi no Mizu wa Naze Karai;6835;Movie;10 min.;['add some'];Original;N\A;N\A; G - All Ages  ;10983;5.69
26314;Katarina Nounai Kaigi;41399;ONA;44 sec. per ep.;['AQUA ARIS'];Light;N\A;N\A; PG-13 - Teens 13 or older  ;8392;5.72
