;Title;MAL Id;Type;Number of Episodes;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score;Demographic;Year
83;JoJo no Kimyou na Bouken Part 6: Stone Ocean;48661;ONA;Unknown;24 min.;David Production;Manga;Action,Adventure;N\A; R - 17+ (violence & profanity)  ;623;8.56;Shounen;2021
84;Kimetsu no Yaiba;38000;TV;26;23 min. per ep.;ufotable;Manga;Action,Supernatural;Demons,Historical; R - 17+ (violence & profanity)  ;9;8.56;Shounen;2019
85;Yakusoku no Neverland;37779;TV;12;22 min. per ep.;CloverWorks;Manga;Horror,Mystery,Sci-Fi,Suspense;N\A; R - 17+ (violence & profanity)  ;39;8.56;Shounen;2019
86;Mushishi: Hihamukage;21329;Special;1;45 min.;Artland;Manga;Adventure,Fantasy,Mystery,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;1441;8.55;Seinen;2014
87;Zoku Natsume Yuujinchou;5300;TV;13;24 min. per ep.;Brain's Base;Manga;Drama,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;835;8.55;Shoujo;2009
88;Bakuman. 3rd Season;12365;TV;25;24 min. per ep.;J.C.Staff;Manga;Comedy,Drama,Romance;N\A; PG-13 - Teens 13 or older  ;601;8.55;Shounen;2012
89;Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly;33049;Movie;1;1 hr. 57 min.;ufotable;Visual;Action,Fantasy,Supernatural;N\A; R - 17+ (violence & profanity)  ;594;8.54;N\A;2019
90;Haikyuu!!: To the Top 2nd Season;40776;TV;12;23 min. per ep.;Production I.G;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;270;8.54;Shounen;2020
91;Kara no Kyoukai 5: Mujun Rasen;4282;Movie;1;1 hr. 54 min.;ufotable;Light;Action,Drama,Mystery,Romance,Supernatural,Suspense;N\A; R - 17+ (violence & profanity)  ;880;8.54;N\A;2008
92;Neon Genesis Evangelion: The End of Evangelion;32;Movie;1;1 hr. 26 min.;Gainax,Production I.G;Original;Avant Garde,Drama,Sci-Fi;Mecha,Psychological; R+ - Mild Nudity  ;171;8.54;N\A;1997
93;Sora yori mo Tooi Basho;35839;TV;13;23 min. per ep.;Madhouse;Original;Adventure,Comedy,Drama;N\A; PG-13 - Teens 13 or older  ;412;8.54;N\A;2018
94;Yuru Camp△ Season 2;38474;TV;13;23 min. per ep.;C-Station;Manga;Comedy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;1088;8.54;N\A;2021
95;Slam Dunk;170;TV;101;23 min. per ep.;Toei Animation;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;762;8.53;Shounen;1993
96;Gintama.: Porori-hen;35843;TV;13;23 min. per ep.;Bandai Namco Pictures;Manga;Action,Comedy,Sci-Fi;Historical,Parody,Samurai; PG-13 - Teens 13 or older  ;1124;8.53;Shounen;2017
97;Koukaku Kidoutai: Stand Alone Complex 2nd GIG;801;TV;26;25 min. per ep.;Production I.G;Manga;Action,Mystery,Sci-Fi;Mecha,Military,Police; R - 17+ (violence & profanity)  ;909;8.53;Seinen;2004
98;Gintama Movie 1: Shinyaku Benizakura-hen;7472;Movie;1;1 hr. 35 min.;Sunrise;Manga;Action,Comedy,Sci-Fi;Historical,Parody,Samurai; R - 17+ (violence & profanity)  ;1294;8.52;Shounen;2010
99;Jujutsu Kaisen 0 Movie;48561;Movie;1;1 hr. 45 min.;MAPPA;Manga;Action,Supernatural;N\A; R - 17+ (violence & profanity)  ;628;8.52;Shounen;2021
100;Kenpuu Denki Berserk;33;TV;25;25 min. per ep.;OLM;Manga;Action,Adventure,Drama,Fantasy,Horror,Supernatural;Demons,Military; R+ - Mild Nudity  ;332;8.52;Seinen;1997
101;One Punch Man;30276;TV;12;24 min. per ep.;Madhouse;Web;Action,Comedy,Sci-Fi,Supernatural;Parody,Super Power; R - 17+ (violence & profanity)  ;4;8.52;N\A;2015
102;Perfect Blue;437;Movie;1;1 hr. 21 min.;Madhouse;Novel;Avant Garde,Drama,Horror;N\A; R+ - Mild Nudity  ;320;8.52;N\A;1998
103;Shingeki no Kyojin;16498;TV;25;24 min. per ep.;Wit Studio;Manga;Action,Drama,Fantasy,Mystery;Military,Super Power; R - 17+ (violence & profanity)  ;1;8.52;Shounen;2013
104;"Steins;Gate 0";30484;TV;23;23 min. per ep.;White Fox;Visual;Drama,Sci-Fi,Suspense;N\A; PG-13 - Teens 13 or older  ;183;8.52;N\A;2018
105;Nana;877;TV;47;23 min. per ep.;Madhouse;Manga;Drama,Romance,Slice of Life;N\A; R+ - Mild Nudity  ;323;8.51;Shoujo;2006
