sep=;
;Title;MAL Id;Type;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score
130;Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari;11981;Movie;1 hr. 56 min.;['Shaft'];Original;['Drama', 'Mystery', 'Suspense'];N\A;N\A;544;8.46
131;Golden Kamuy 3rd Season;40059;TV;23 min. per ep.;['Geno Studio'];Manga;['Action', 'Adventure'];N\A;N\A;1502;8.45
132;Mo Dao Zu Shi: Xian Yun Pian;38450;ONA;24 min. per ep.;['B.CMAY PICTURES'];Novel;['Action', 'Mystery', 'Supernatural'];N\A;N\A;1947;8.45
133;Mushishi Zoku Shou: Odoro no Michi;24687;Special;47 min.;['Artland'];Manga;['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural'];N\A;N\A;1825;8.45
134;Yuu☆Yuu☆Hakusho;392;TV;24 min. per ep.;['Studio Pierrot'];Manga;['Action', 'Comedy', 'Supernatural'];['Demons', 'Martial Arts'];N\A;278;8.45
135;Saiki Kusuo no Ψ-nan 2;34612;TV;24 min. per ep.;['J.C.Staff', 'Egg Firm'];Manga;['Comedy', 'Slice of Life', 'Supernatural'];N\A;N\A;336;8.44
136;Wu Liuqi Zhi Xuanwu Guo Pian;45556;ONA;16 min. per ep.;['add some'];Original;['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery'];['Martial Arts', 'Super Power'];N\A;3881;8.44
137;Gintama: Yorinuki Gintama-san on Theater 2D;21899;Movie;1 hr. 36 min. per ep.;['Sunrise'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai'];N\A;2983;8.44
138;JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season;26055;TV;23 min. per ep.;['David Production'];Manga;['Action', 'Adventure', 'Drama', 'Supernatural'];N\A;N\A;135;8.44
139;Grand Blue;37105;TV;24 min. per ep.;['Zero-G'];Manga;['Comedy', 'Slice of Life'];N\A;N\A;259;8.43
140;Holo no Graffiti;44042;ONA;1 min.;['Hololive Production'];Other;N\A;N\A;N\A;2783;8.43
141;Karakai Jouzu no Takagi-san 3;49721;TV;24 min. per ep.;['Shin-Ei Animation'];Manga;['Comedy', 'Romance', 'Slice of Life'];N\A;N\A;1695;8.43
142;Kono Oto Tomare! 2nd Season;38889;TV;23 min. per ep.;['Platinum Vision'];Manga;['Drama', 'Romance'];['Music', 'School'];N\A;1381;8.43
143;Koukaku Kidoutai: Stand Alone Complex;467;TV;25 min. per ep.;['Production I.G'];Manga;['Action', 'Sci-Fi'];['Mecha', 'Military', 'Police'];N\A;490;8.43
144;Mononoke;2246;TV;22 min. per ep.;['Toei Animation'];Original;['Fantasy', 'Horror', 'Mystery', 'Supernatural'];['Demons', 'Historical', 'Psychological'];N\A;703;8.43
145;Saiki Kusuo no Ψ-nan;33255;TV;5 min. per ep.;['J.C.Staff', 'Egg Firm'];Manga;['Comedy', 'Slice of Life', 'Supernatural'];N\A;N\A;139;8.43
146;Natsume Yuujinchou Movie: Utsusemi ni Musubu;36538;Movie;1 hr. 44 min.;['Shuka'];Manga;['Drama', 'Slice of Life', 'Supernatural'];N\A;N\A;2375;8.42
147;Sayonara no Asa ni Yakusoku no Hana wo Kazarou;35851;Movie;1 hr. 55 min.;['P.A. Works'];Original;['Drama', 'Fantasy'];N\A;N\A;524;8.42
148;86 Part 2;48569;TV;23 min. per ep.;['A-1 Pictures'];Light;['Action', 'Drama', 'Sci-Fi'];['Mecha', 'Military'];N\A;786;8.42
149;Doupo Cangqiong: San Nian Zhi Yue;49701;ONA;24 min. per ep.;['Motion Magic'];Novel;['Action', 'Fantasy'];N\A;N\A;8738;8.41
150;Fumetsu no Anata e;41025;TV;25 min. per ep.;"[""Brain's Base""]";Manga;['Adventure', 'Drama', 'Supernatural'];N\A;N\A;261;8.42
151;Major S5;5028;TV;24 min. per ep.;['SynergySP'];Manga;['Comedy', 'Drama', 'Romance', 'Sports'];N\A;N\A;2231;8.42
152;Kara no Kyoukai 7: Satsujin Kousatsu (Go);5205;Movie;2 hr. 1 min.;['ufotable'];Light;['Action', 'Mystery', 'Romance', 'Supernatural', 'Suspense'];N\A;N\A;999;8.41
153;Kaze ga Tsuyoku Fuiteiru;37965;TV;23 min. per ep.;['Production I.G'];Novel;['Drama', 'Sports'];N\A;N\A;749;8.41
154;Kobayashi-san Chi no Maid Dragon S;39247;TV;23 min. per ep.;['Kyoto Animation'];Manga;['Comedy', 'Fantasy', 'Slice of Life'];N\A;N\A;426;8.41
155;Non Non Biyori Nonstop;39808;TV;24 min. per ep.;['SILVER LINK.'];Manga;['Comedy', 'Slice of Life'];N\A;N\A;1772;8.41
156;Shingeki no Kyojin: Kuinaki Sentaku;25781;OVA;27 min. per ep.;['Wit Studio'];Visual;['Action', 'Fantasy'];N\A;N\A;406;8.41
157;Tensei shitara Slime Datta Ken 2nd Season;39551;TV;23 min. per ep.;['8bit'];Light;['Action', 'Adventure', 'Comedy', 'Fantasy'];N\A;N\A;220;8.41
